id,text,label
23,Marquinhos comforts his international teammate Gabriel after his penalty miss,
24,"Thierry Henry in his post-match analysis about Ronaldo after Portugal's game vs DR Congo: ""The team needs to score, not you need to score""",
25,Kansas City honors Lionel Messi after World Cup hat trick,
26,[diarioas] Enzo Fernández is the chosen one for the midfield. Real Madrid has decided in recent hours to pursue the Argentine.,
27,Glasners slide after Conference League victory,
28,"22 years and 183 days: Cristiano Ronaldo and Bekhrouz Karimov broke the World Cup record for biggest age difference between 2 rival players. Roger Milla and Beschastnykh (21y, 321d) were holding this record since 1994.",
29,[WC2026 Day 12] All Goals with Scoring Nation Commentary,
30,[Metropoles] Cucurella's wife reports death threat after the player goes to Real Madrid.,
31,[Official] Spain 0-0 Cabo Verde is the first goalless draw of FIFA World Cup 2026,
32,Referee awards Arsenal a corner kick in stoppage time but then blows the whistle for halftime after Arsenal takes too long to take it,
33,"[Fabrizio Romano] Endrick: ""Ancelotti won't do what's best for Endrick, he won't do what's best for the fans... he'll do what's best for Real Madrid""",
34,Messi's touch in slow motion for his second goal,
35,Australia [1] - 0 Turkiye - Nystrom Irankunda 27',
36,"Brazilian fans chanted ""Hey, Trump, Go Fuck Yourself"" during the American anthem in yesterday's match between Brazil vs USA",
37,"[BBC] With the 2-1 loss to Algeria, Jordan are officially eliminated from the World Cup",
38,Portugal [4] - 0 Uzbekistan - Abdukodir Khusanov (own goal) 60',
39,"Turkey have been knocked out of the World Cup following their loss to Paraguay. They still have one match left against the USA, but their qualification hopes are officially gone.",
40,Abduvakhid Nematov save against Portugal 57',
41,"As requested, the full clip of Iraqi and French NT making a mascot's day",
42,21-year-old Kenzo Kies has been identified as the Ligue 2 player who suffered brain death.,
43,Scenes as FC Arsenal lift Premier League trophy,
44,"[BBC] following the 3-2 win over Senegal, Norway confirm their place in the knockouts for the first time since 1998",
45,[ESPN FC] DR Congo has earned their first-ever World Cup point with their draw vs. Portugal,
46,A Ligue 2 player had an accident when swimming in the Rhône and is brain dead,
47,Every World Cup Goal so far,
48,Cape Verde players reactions after securing their first ever World Cup point against Spain,
49,"Zlatan Ibrahimović on Messi's World Cup: ""Five goals in 2 games...I have zero goals in two World Cups, so, I'm happy for him and I hope he continues, his birthday is in a couple of days so let him enjoy, because we're all enjoying him by seeing him play so, amazing, just amazing""",
50,Boston police officer showing off his skill,
51,[FIFA] Teams qualified for FIFAWC RO32,
52,Egypt's Mo Salah singing and dancing in the streets of Vancouver with fans and fellow teammates.,
53,Norway [3] - 1 Senegal - E. Haaland 58',
54,"Australian midfielder Jackson Irvine on new red card rule for covering your mouth: ""If you're saying something to someone that you don't want to be seen, I think it's safe to say it shouldn't be said.""",
55,Argentina [2] - 0 Austria - Lionel Messi 90+4',
56,Refcam angle of Lionel Messi's goal against Algeria,
57,[David Ornstein] Arsenal now in club-to-club contact with Leicester City over deal for Jeremy Monga.,
58,"[Marca] Atletico Madrid statement: ""There is no amount of money for which Barça can buy Julián Álvarez. Either they pay the release clause for €500m or there is no deal.""",
59,"Pep: ""The next few years, all around the world, if you see me on the streets, if you are a Man City fan come and hug me. I mean it, I will need it.""",
60,Alternate angles of Giovanni Reyna's goal against Paraguay,
61,France [1] - 0 Iraq - K. Mbappé 14',
62,Norway [2] - 0 Senegal - E. Haaland 48',
63,Uruguay 0 - [1] Cape Verde - Kevin Pina 21',
64,Argentina [1] - 0 Austria - L. Messi 38',
65,"Julián Álvarez: ""This isn't the time to talk about this, but I can't hide either; I spoke with the people at Atlético Madrid, and I think the best thing for everyone is a transfer. I want to fulfill my dream.""",
66,[LaVanguardia] Agreement on a 5-year contract between Barcelona and Julian Alvarez.,
67,Curacao coach Dick Advocaat drying his tears moments before kickoff against Germany,
68,[Liverpool FC] have parted ways with Arne Slot,
69,Argentina [1] - 0 Algeria - L. Messi 17',
70,Somali referee Omar Abdulkadir Artan chosen by FIFA for World Cup has been denied entry to the USA,
71,"US player Folarin Balogun who scored two goals today, became a US citizen by accident when the airline refused to fly his mom back to England while she was pregnant with him",
72,France [2] - 0 Iraq - K. Mbappé 54',
73,Kid wearing a mashup of various kits from teams Cristiano Ronaldo has played for celebrates the ultimately disallowed Uzbekistan goal,
74,Norway fans doing Viking Row against Senegal 85',
75,France Vs Iraq match suspended due to inclement weather,
76,"[AS] Atlético Madrid will report Barcelona over Julián: ""Everyone knows it's a cheating club, and they've come it again here""",
77,"137 - There have been 137 goals scored in this year's FIFA World Cup (45 games), now the most ever in the group stages of a single edition of the finals, overtaking the 136 scored in 2014 (48 games).",
78,Netherlands fans before their match vs Japan in Dallas,
79,World Cup 2026: Donald Trump to attend World Cup final and present winner,
80,FIFA's World Cup 'hydration breaks' are a money-grabbing disgrace: Gianni Infantino is selling football's soul to broadcasters,
81,France against Iraq will resume at 00:00 UTC and FIFA has confirmed that there will be no hydration breaks for the rest of the match,
82,BBC's 3D first person simulation of Messi's record breaking goal vs Austria.,
83,Cape Verde's Vozinha says U.S. visa issues stopped mom witnessing World Cup heroics,
84,France [3] - 0 Iraq - Ousmane Dembele 66',
85,Jordan 1-0 Algeria - Al Rashdan 36',
86,Ronaldinho nails the McDonalds challenge with Yamal on his very first try.,
87,"The Norwegian fans marched up to The Royal Palace in the middle of the night, chanting, ""We're going to wake the King up!""",
88,"[The Athletic] Lionel Messi — improbably, still as good as ever",
89,Haaland hits the post against Senegal 45+4',
90,10 men and a statue: Portugal are sacrificing another World Cup for Cristiano Ronaldo's ego,
91,Official Announcement: Felicia Schröder joins Real Madrid on a world record transfer,
92,Nathan Saliba holds up Ismael Kone's shirt after scoring,
93,[The Athletic] Thomas Partey will play no part in Ghana's first World Cup game in Toronto as he has been denied entry to Canada.,
94,"Japanese fans stayed behind to clean up after the match vs Netherlands, with help from Jameis Winston",
95,Jeremy Doku became a father: Red Devil was given the green light before the match against Iran to travel to London to witness the birth of his first child,
96,Norway has invaded Times Square,
97,20 year old Den bosch player Wang Bohao donated 450 thousand RMB (66 thousand USD) to support Youth development in China,
98,Norway 3-[2] Senegal - Ismaïla Sarr 90+3',
99,"Per FIFA Media, Thursday's Mexico–South Korea match averaged 25.5 million viewers in Mexico, the most-watched World Cup broadcast of the 21st century in the country.",
100,A severe thunderstorm delays the France-Iraq match.,
101,[ESPN] Aston Villa offers €9 million for Flamengo's Emerson Royal,
102,Norway's Erling Haaland is the first player to score twice on their World Cup debut since Elijah Just for New Zealand on Monday.,
103,Iran forced to leave US immediately after World Cup draw with New Zealand,
104,A major howler by the Novorizontino keeper for the Ponte Preta goal during today's match in the Brazilian second division,
105,"The South Korean fans couldn't bring the tequila bottle inside the stadium, so they started drinking it all together outside and also invited the Mexican fans to join them.",
106,[Ornstein] Inter Milan face competition from Chelsea for Atalanta's Marco Palestra,
107,FIFA president Gianni Infantino taking a corner kick at a promotional event match.,
108,Alternate angle of Cucho Hernandez assist for Jaminton Campaz goal against Uzbekistan,
109,Kylian Mbappé showing the staff where the pitch is flooded,
110,Newcastle United announces three-year front-of-shirt partnership with Knox Hydrate,
111,[BBC Sport] BBC crossed live to Cape Verde at the very moment they scored their first ever World Cup goal to take the lead over Uruguay.,
112,SS Lazio appoint Gennaro Gattuso as team manager,
113,Memo Ochoa to start for Mexico in World Cup clash against Czech Republic,
114,Norway 1-0 Senegal - Marcus Pedersen 43',
115,Madibo's reaction after seeing Ismael Kone's injury,
116,Oxford United Appoint Aaron Ramsey as Head Coach,
117,"Rebecca Lowe: ""Chaps, Alexi [Lalas] left us"" Zlatan: ""America, you're welcome""",
118,BBC 3D's rendering of Australia's Aiden O'Neill treating the referee for cramp,
119,"Australian VAR supervisor, Shaun Evans, hand gesture before the match between Germany and Curaçao",
120,Glasner pictured with all the trophies he won at Crystal Palace,
121,Norway 2 - [1] Senegal - I. Sarr 53',
122,Vitinha completed 121 passes against DR Congo - the most by any player featuring for under 90 minutes in a World Cup game since records began,
123,The President of Turkish Football Federation has called on the Justice Minister to imprison those who criticize the national team.,
124,"[OC] Three players have scored 2 or more goals in back-to-back games at the 2026 World Cup so far: Messi, Mbappe and Haaland. The only other World Cup to ever produce three was 1958.",
125,[Official] Paris Saint-Germain FC wins the 2025/26 UEFA Champions League.,
126,[OL] Agreement reached for the takeover of Olympique Lyonnais by Michele Kang,
127,[Ornstein] Jose Mourinho signs contract as new Real Madrid head coach,
128,[Carlos Monfort] Barça are preparing a 130m bid for Julian Alvarez.,
129,Referee Felix Zwayer down with muscle cramps 90'+3',
130,"Messi nets hat trick, ties Klose record with 16th World Cup goal",
131,Arsenal are the first ever team in Premier League history to go the whole season without receiving a red card or conceding a penalty,
132,Declan Rice reacts to the news of West Ham being relegated,
133,Ghanaian witch doctor who 'nobbled' Cristiano Ronaldo says he's 'cursed' Harry Kane.,
134,Aurelien Guernier completes move to AC Milan,
135,[OptaAnalyst] Lionel Messi has taken (7) and missed (3) the most Penalties in World Cup history.,
136,"Messi: ""Obviously I am happy with the win. It was a hard win. We knew it was going to be intense, that we could not drop off. Happy with the result and the qualification. It was important.""",
137,Fulham finalising deal to appoint Alvaro Arbeloa as head coach on three-year deal,
138,[FC Barcelona] Agreement for the transfer of the 27-year-old goalkeeper Iñaki Peña to Panathinaikos FC,
139,France penalty shout against Iraq 80',
140,Arsenal completed less than 200 passes in 120 minute match in UCL final,
141,Argentinian fans spot an Austrian fan and immediately adopt him,
142,Uruguayan couple gets engaged during Uruguay vs Cape Verde. Seconds later Cape Verde score the equalizer,
143,Christian Eriksen just collapsed on the field in a match against Ukraine,
144,[The Athletic] Atletico's Julian Alvarez confirms he wants a transfer: 'I want to fulfill my dream',
145,Óscar Garcia is the new Pogoń Szczecin head coach,
146,"Achraf Hakimi will be prosecuted for rape charges, French court ruled",
147,Refcam angle of Lionel Messi's first goal against Austria,
148,Deschamps has now matched Helmut Schön's record for most World Cup wins as a coach (16) after France's victory against Iraq. Deschamps has led France to 16 wins in his 21 World Cup matches. Helmut Schön reached 16 wins in 25 matches while coaching West Germany between 1966 and 1978.,
149,"[Marca] For the first time, the Spanish team will go to World Cup without a player from Real Madrid. Never before, in the 16 World Cups that Spain has attended, there had been this total absence of Real Madrid on the expedition.",
150,Fans told not to travel to France-Iraq game due to bad weather,
151,Arabic commentary of Messi's historic 17th goal in the world cup,
152,"United secures land for new 100,000-seater stadium",
153,A group of DR Congo fans celebrate Wissa's goal at a Lisbon fan zone,
154,Scenes after full time whistle as the match between Uruguay and Cape Verde ends in a 2-2 draw,
155,[Football Italia] Ashley Cole expected to leave Cesena 8 games into Serie B career,
156,Thomas Tuchel perplexed by the close proximity of the photographers to their bench before the national anthems,
157,"Pep Guardiola: ""I have a regret that I have hid deep inside me and that is that I did not give a chance to Joe Hart, to prove himself how good of a goalkeeper he was, and I should have done.""",
158,'Absolutely love him' – Wayne Rooney goes crazy for Barcelona star Lamine Yamal,
159,"""Ale was born in Italy, but he did all his life in Australia, so he's Aussie. He's been having the mullet for the last six or seven years"" - Alessandro Circati's father on his son choosing to play for Australia instead of Italy",
160,[Tom Collomosse] Aston Villa are determined to ignore all interest in Morgan Rogers unless they receive offers well above £100m,
161,Didier Deschamps has now matched Helmut Schön's record for most World Cup wins as a coach (16).,
162,Comunicado Oficial: Real Madrid win their legal battle against La Liga. La Liga unlawfully excluded Madrid from TV rights management meetings in 2022.,
163,A larger World Cup had some worrying the competition would suffer. It hasn't,
164,Uruguay 2 - [2] Cape Verde - Hélio Varela 61',
165,Why Thomas Tuchel is so willing to depend on Reece James,
166,"According to The Athletic, FOX didn't just annoy fans but also broke FIFA rules during the hydration breaks.",
167,Yaya Toure talking about Eden Hazard's bum and how it helped him in football,
168,Egyptians on the street of Egypt at 6:00am this morning after their first ever World Cup win yesterday,
169,Mexican trade group leader fired after racist gesture during World Cup match,
170,The Athletic on Alexi Lalas: He is one of the most insufferable analysts in American TV sports history.,
171,[Pete Hall] Tottenham Hotspur are set to open talks for Marcus Rashford,
172,[Bild+] FC Bayern are interested in Felix Nmecha.,
173,"Pochettino on style of play development in US soccer: ""If you start an MLS club and three months later you haven't won any matches and you're at the bottom, what's the consequence if there are no promotions, relegations, or international competition? American sport rewards losers.""",
174,New Zealand [1] - 0 Egypt - F. Surman 15',
175,"[On This Day] 20 years ago, Josip Šimunić became the only player in World Cup history to receive three yellow cards in the same match",
176,Mo Salah is leading the celebrations as Egypt toast a first ever World Cup win,
177,"Mbappé: ""My thoughts on hydration breaks? Don't ask us players for our opinion, we're very reactionary.""",
178,Ollie Watkins was asked about the Jérémy Doku situation,
179,"World Cup 2026: Messi, Mbappe, Haaland and Kane in Golden Boot race for the ages - who will win?",
180,Rayo goalkeeper Batalla stops play after noticing a medical emergency in the crowd during the ECL final,
181,Cape Verdean fans celebrating outside Miami Stadium,
182,Germany [2] - 1 Ivory Coast - D. Undav 90+3',
183,Malaga CF have spent only €380K on permanent signings in the last 7 years with one of the lowest budgets in Segunda.,
184,'Too easy to blame Cristiano Ronaldo!' - Michael Owen backs Portugal star to 'shut up' critics,
185,[BBC] From non-league to the World Cup - the Semenyo story,
186,Cape Verde manager Bubista presented gifts to Uruguay manager Marcelo Bielsa before the match,
187,A FIFA staff member holding the Czech Republic flag got caught in the huge flag while the others were rolling it up.,
188,Bayern Munich 2-0 VfB Stuttgart - Harry Kane 80',
189,Van Dijk isn't a fan of the hydration breaks and has called for some reflection on whether they're really necessary.,
190,New Zealand 1 - [3] Egypt - Mahmoud Trezeguet 82',
191,Japan's coach takes a selfie with Harry Kane,
192,Cape Verde's goalkeeper Vozinha and his FT stats,
193,[Sofascore] Lukaku's World Cup form since last goal,
194,"Lionel Messi becomes the all time leading goalscorer in FIFA World Cup history (17), surpassing his joint record with Miroslav Klose",
195,USA [4] - 1 Paraguay - G. Reyna 90+8',
196,[Sports Illustrated] famous DR Congo fan Lumumba Vea has arrived to Mexico,
197,Mert Mulder in tears at full-time as Turkey are eliminated from the World Cup after back-to-back defeats,
198,Germany's Nico Schlotterbeck is out of the World Cup due to foot injury,
199,Thiago Silva back to Fluminense. DONE DEAL,
200,"An economist predicted that the winner of Sunday's match Algeria - Austria will very likely face favorite Spain, while the loser has the chance to play against a lower-ranked team depending on 3rd place standings — This makes losing this game potentially more beneficial for advancing.",
201,Japanese fans celebrating Daichi Kamada's late equalizer against Netherlands at the Shibuya crossing in Tokyo.,
202,France [3]-1 Senegal - Kylian Mbappe 90+6',
203,Cape Verde celebrates well into the early morning after their draw against Uruguay,
204,"Kylian Mbappé makes his 100th cap for France, the tenth man to do so.",
205,[Di Marzio] City-Chelsea deal: A verbal agreement has been reached between City & Chelsea regarding the termination of Maresca's contract.,
206,"Spain's Head Coach Luis de la Fuente: ""Rodrigo is the best player in the world, and even at 50% he's much better than most midfielders in the world.""",
207,"Erling Haaland: ""I couldn't care too much about playing France. They're probably going to win against us, they're probably going to win the tournament.""",
208,"Curaçao manager Dick Advocaat (78) in tears after helping Curaçao, the smallest nation to ever make the World Cup, earn a point against Ecuador. He is the oldest manager in World Cup history by four years.",
209,"[OTD] 40 years ago today, Diego Maradona scored the Goal of the Century against England at the 1986 World Cup",
210,[The Telegraph] Iran coach accuses World Cup managers of silence over treatment,
211,The only two coaches who have won Trebles with 2 different teams - Stats,
212,Tchouameni steps on Maignan's foot during a Senegal corner and France are awarded a free-kick,
213,[OC] World Cup 2026 Group J Outcome Table,
214,VAR picture of Iran's disallowed goal,
215,Uruguay [1] - 1 Cape Verde - M. Araújo 44',
216,"15 - Curaçao's Eloy Room recorded 15 saves against Ecuador, the most on record (since 1966) by any goalkeeper in a FIFA World Cup match that did not feature extra-time.",
217,[FotMob] Match statistics from Netherlands 5-1 Sweden,
218,Some US players believe they can win the World Cup. Are they deluded?,
219,"Rangnick on the upcoming match Argentina - Austria: ""If you want to win a lot of money, you should bet on us""",
220,"Egypt's 3-1 win over New Zealand is their first-ever victory at a FIFA World Cup, 92 years on since their first match at the tournament in 1934.",
221,"Rade Bogdanović: ""I sincerely apologise for my statement about Black footballers""",
222,"Cape Verde goalkeeper Vozinha after the draw vs Spain: ""I worked all my life for this. For this moment, for this dream.""",
223,[UEFA] Crystal Palace win the UEFA Conference League,
224,[Official] Sunderland A.F.C. have qualified for the Europa League.,
225,Offside graphic for Uruguay's disallowed goal vs Cape Verde,
226,"[OTD] 40 years ago today, Diego Maradona scored the Goal of the Century against England at the 1986 World Cup",
227,Anthony Gordon becomes an FC Barcelona player,
228,Map of the Serie A 2026/2027 clubs,
229,"[FC Barcelona] Hamza Abdelkarim, blaugrana until 2029",
230,"(Süddeutsche) Miroslav Klose on Lionel Messi breaking his World Cup scoring record: ""I've always said that Messi isn't half bad. For me, he's the best footballer of all time. Congrats, champion!""",
231,Bruno Fernandes breaks the Premier League assist record with 21 assists,
232,New Zealand 1 - [1] Egypt - Zico 58',
233,Crocombe save against Egypt 93',
234,Uruguay disallowed goal against Cape Verde 68',
235,MisterChip: We are still waiting for a goal by a player with shirt number 5 into the correct goal. All others except 1 have already scored a goal in this World Cup.,
236,[WC2026 Matchday 1] All Goals with Scoring Nation Commentary,
237,Thiago Silva returns to the Fluminense Football Club,
238,[CIES] OLDEST OUTFIELD PLAYERS LINED-UP FIFA WORLD CUP 2026,
239,"The Somali referee Omar Abdulkadir Artan was interrogated and jailed in Miami, then sent back home because he has the same name as one of the leaders of the terrorist group Al Shabab",
